,Academic Courses,Learning Outcomes,Undergraduate Program,Graduate Program,Immersive Experience,Sustainability Literacy Assessment,Incentives for Developing Courses,Campus as a Living Laboratory,Research and Scholarship,Support for Sustainability Research,Open Access to Research,Student Educators Program,Student Orientation,Student Life,Outreach Materials and Publications,Outreach Campaign,Assessing Sustainability Culture,Employee Educators Program,Employee Orientation,Staff Professional Development and Training,Community Partnerships,Inter-Campus Collaboration,Continuing Education,Community Service,Participation in Public Policy,Trademark Licensing,Emissions Inventory and Disclosure,Greenhouse Gas Emissions,Building Design and Construction,Building Operations and Maintenance,Building Energy Efficiency,Clean and Renewable Energy,Food and Beverage Purchasing,Sustainable Dining,Landscape Management,Biodiversity,Sustainable Procurement,Electronics Purchasing,Cleaning and Janitorial Purchasing,Office Paper Purchasing,Campus Fleet,Commute Modal Split,Support for Sustainable Transportation,Waste Minimization and Diversion,Construction and Demolition Waste Diversion,Hazardous Waste Management,Water Use,Rainwater Management,Sustainability Coordination,Sustainability Planning,Inclusive and Participatory Governance,Reporting Assurance,Diversity and Equity Coordination,Assessing Diversity and Equity,Support for Underrepresented Groups,Affordability and Access,Committee on Investor Responsibility,Sustainable Investment,Investment Disclosure,Employee Compensation,Assessing Employee Satisfaction,Wellness Program,Workplace Health and Safety,Bicycle Friendly University,Carbon Mitigation Project Development,Community Garden,External Reporting Assurance,Fair Trade Campus,Food Bank,Green Athletics,Green Event Certification,Green Laboratory Program,Grounds Certification,Network for Student Social Innovation,Online Sustainability Course,Serving Underrepresented Students,Sustainability Projects Fund,Voter Education and Support,Innovation A,Innovation B,Innovation C,Link,Support for Research,Staff Professional Development,Outdoor Air Quality,Building Energy Consumption,Student Commute Modal Split,Employee Commute Modal Split,Participatory Governance,Pre-Submission Review,Sustainability Course Designation,Innovation D,Green Laboratories,Sustainable Dining Certification,Single-Use Plastic Ban,Certified Green Cleaning,Dining Services Certification,Diversity and Equity Recognition,Textbook Affordability,Zero Waste Certification,Wellbeing Certification,Natural Wastewater Systems,Campus Pride Index,Nitrogen Footprint,Adjunct Faculty Compensation,Pest Management Certification,Serving Underrepresented Groups,Social Enterprise,Spend Analysis,Stakeholder Engagement Standard,Stormwater Modeling,Student Living Wage,Sustainability Office Diversity Program,Water Balance,Work College,Full-Time Faculty Employment,Sanctuary Institution,Anchor Institution Network,Pay Scale Equity,NSSE Sustainability Education Consortium,Community Stakeholder Engagement,Hospital Network,Center for Sustainability Across the Curriculum,Academy-Industry Connections,Green Cleaning Certification,Fleet Certification,Laboratory Animal Welfare,Energy System Certification,Campus Water Balance,Health and Safety Management Certification,sum
the new school ny,8.98,3.01,3,3,2,0,2,0,9.04,0,0,0,2,1.75,2,2,0,0,1,0,2,2.5,2,0,1.33,0,0,5.48,1.76,0,0,2.26,1.26,1.63,0,0,0.75,0.15,0.86,0.98,0,0,0,3.3,0,1,0.52,0.5,1,1.75,0,0,1.56,0,0.5,2.86,2,1.08,0,0.7,0.4,1,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/the-new-school-ny/report/2018-08-06/,3,0,0,2.98,1.96,1.94,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.1
radford university va,7.6,0.94,1.5,0,2,0,2,4,11.45,0,0,4,2,1.75,1.5,4,0,0,1,0,3,3,3,0.25,0,0,0,3.38,2.26,2,0,0.02,0,1.75,0,2,1.25,0.99,0.87,0.27,0.05,0,1.4,2.85,0.73,0.5,0,2,1,3.25,0,0,1.33,0,2,1.37,0,0,0,0.09,0,1,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/radford-university-va/report/2019-05-21/,0,1,0,2.36,1.8,0.28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.82
champlain college vt,8.11,0.84,3,0,2,0,2,4,0,0,0,2.83,1.9,1.75,2,4,0.5,0,1,0,2,2,0,2.57,2,0,0,5.75,1.79,0.55,0,0.29,0.56,1.75,0,0,1.25,0.5,0.82,0.31,0,0,2,2.78,0,1,4,1,1,3.5,0,0,1.67,0.88,1.83,2.76,0,0,0,0,1,1,0.68,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/champlain-college-vt/report/2019-05-09/,0,2,1,4.92,1.72,1.06,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.62
seneca college on,10.93,1.15,3,0,2,0,0,1.6,12,0,0,3.41,1.7,1.5,1.25,4,0,0,1,0,3,3,3.6,0.01,0,0,0,1,1.96,1,0,0,0.24,1.63,0,2,0,0.65,0.95,0.4,0,0,1.4,3.9,0.79,1,1.14,0,1,1.75,0,0,1.67,0.88,1.5,1,0,0,0,1.5,0.77,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/seneca-college-on/report/2020-03-30/,1,0,0,3.63,1.58,0.46,1.5,0.5,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.35
state university of new york at brockport ny,5.92,1.38,3,3,2,0,2,0,6.94,0,0,1.8,2,1.5,2,4,0,3,1,0,3,2,3,1.74,0,0,0,4.88,2.5,0,0,0.01,0,1.75,1,0,1.75,0.95,0.8,0.54,0.18,0,1.6,3,0.98,1,0.18,2,1,3,0,0,1.33,1,3,1.44,0,0,0,0.3,0,1,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/state-university-of-new-york-at-brockport-ny/report/2018-12-12/,2,2,0,3.15,0.66,0.24,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3
lawrence university wi,8.89,0.2,3,0,2,2,2,4,7.88,3,0.67,3.07,2,2,2,2,0.5,0,1,1.75,0,1,3,1.62,0,0,2.48,3.15,0,0,3.44,0.04,1.44,1.88,0.26,0,0.75,0.9,0.45,0.34,0.02,0,0.6,1.12,0.88,1,3.08,0.5,1,2,1.88,0,1.78,1,3,3,0,0,0,0.63,0.7,0.75,0.56,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,https://reports.aashe.org/institutions/lawrence-university-wi/report/2019-09-23/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.25,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.21
williams college ma,8.76,0.18,3,0,2,0,0,4,5.09,0,0,0.64,1.92,2,2,4,0.5,0,0.7,0,1,2,0,3.23,0,0,0,5.36,2.08,0.5,0,0,0.79,1.75,1,2,0,0.99,0.86,0,0.06,0,1.8,1.7,0.97,1,2.97,0.5,1,0,0,0,1.33,0.75,3,3.8,2,1,0,2.7,0.5,1,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/williams-college-ma/report/2019-05-28/,2,1,0.5,4.36,1.97,0.46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.13
temple university pa,6.33,0.07,3,3,2,0,0,4,4.26,0,0,0,2,2,2,4,0,0,1,0,3,1.5,2.53,0,0,2,0,6.14,1.63,1,0,0.11,0.14,1.5,0.82,1,1.75,0.56,0.76,0.4,0.35,0,2,4.22,1,0.75,4.67,2,1,3.25,0,0,1.33,0,2.33,1,0,0,0,0,0.58,1,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/temple-university-pa/report/2020-12-10/,3,0,1,3.31,1.51,1.02,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.11
claremont mckenna college ca,12.67,0.08,3,0,2,0,2,4,12,0,0,3.53,2,2,1.75,4,0,0,1,0,3,1.5,0,0.45,0,0,0,4.34,2.5,0,0,0,0,1.88,0,2,0,0,0.72,0,0.92,0,2,0.73,0,0.5,4.29,0.5,1,0.25,0,0,1.89,1,2.33,2.52,0,0,0,0,0,1,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/claremont-mckenna-college-ca/report/2020-02-14/,4,0,1,2.75,0.78,1.22,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.82
antioch college oh,13.22,8,3,0,2,0,0,4,12,0,0,0,0,1.25,1,0,0,0,0,0,3,2,3,1.24,2,0,0,0,2.28,1,0,0.03,3.23,1.75,2,2,1,0.81,0.76,0.29,0.29,0,1.2,0.99,0.68,0.5,1.19,0.5,1,1.25,0,0,1.67,0.88,1.33,2.49,0,0,0,0.33,0.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/antioch-college-oh/report/2018-03-29/,0,0,0.5,3.36,0,0,1.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.79
city university of new york john jay college of criminal justice ny,14,0.01,1.5,0,2,0,2,1.2,12,3,1.33,2.01,0,1.5,0.8,0,0,0,0,0,2,0.5,3,0.24,1.33,0,1.88,4.71,0,0,4.42,0,0,0.57,0,0,1.5,0.86,0.6,0.4,0,4.31,0.2,2.84,0,0.75,0,0.5,1,3.5,2.38,1,0.83,1,2.58,3,0,2.07,0,0,0,1,1.89,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,https://reports.aashe.org/institutions/city-university-of-new-york-john-jay-college-of-criminal-justice-ny/report/2021-03-04/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.71
boise state university id,4.8,4.22,3,3,2,0,2,4,6.64,4,1.33,2.56,1.8,2,2,4,0.25,1.74,1,1.25,3,2,2.44,1.19,0,2,1.85,3.25,0.97,0,2.79,0.07,0.73,1.23,0.01,0,0,0.16,0,0.14,0.08,0,1,2.61,0.03,0.75,0,1,1,1,1.5,1,1.67,0,1.58,2.13,0,0,0,0.86,0.51,1,0.97,0.25,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/boise-state-university-id/report/2021-07-16/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,95.61
louisiana state university la,6.78,0.67,3,3,2,2,0,4,12,0,0,0.06,2,2,2,4,0.25,3,1,0,2,2,0,0.24,2,0,0,5.02,1.04,0,0,0,0,2,0.96,0,0,0,0.91,0.14,0.29,0,2,4.38,0.77,1,2.02,2,1,2.75,0,0,1.33,1,1.33,1.72,0,0,0,0,0,1,0.95,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/louisiana-state-university-la/report/2018-03-01/,3,0.25,1,0,0.32,0.32,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5
indiana state university in,3.05,0.57,3,0,2,1,2,4,6.11,0,0,0.02,0,1.75,2,4,0.25,0,0,0,3,3,5,3.22,0,0,0,4.72,1.2,0,0,0,1.01,1.63,1,0,0.75,0.73,0.4,0,0.07,0,1.2,3.49,0.49,0.5,4.6,1,1,3.25,0,0,1.78,1,2,3.03,0,0.33,0,1.05,0.68,1,1.31,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/indiana-state-university-in/report/2019-02-26/,4,1.25,0,2.28,0.6,0.16,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.48
university of sharjah ,9.76,4.71,3,3,2,2,2,4,11.51,4,1.33,0,2,2,2,4,0.5,0,1,1.25,3,3,3.93,0,0.67,0,1.46,0,0,1.38,3.31,0,0,0,0,0,1.25,0.51,0,0.8,0.18,2.18,0.6,0,0,1,0,0,1,4,1,1,1.33,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/university-of-sharjah-/report/2021-05-09/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.41
soka university of america ca,14,0.88,3,0,2,0,0,4,12,0,0,4,1.86,1.75,1,2,0,0,1,0,2,1,0,3.75,0,2,0,4.81,0,0,0,0.03,0.32,1.63,0,0,0.5,1,0,0.4,0,0,0.2,2.25,0,1,2.43,0.5,1,0,0,0,0.94,0,0.58,3.76,0,0,0,0.79,1,1,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/soka-university-of-america-ca/report/2018-06-22/,4,1.25,0.5,3.07,1.95,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,94.99
concordia college moorhead mn,8.65,2.7,3,0,2,0,0,4,6.97,3,0,2.31,2,1.75,2,4,0,1.52,1,0,3,2,0,2.25,0,0,2.29,2.67,2.39,0,2.86,0,0,1.68,1.01,0,0,0.97,0.87,0,0.05,2,0.6,2.26,0.84,0.5,3.15,0.5,1,4,1.25,1,1.78,0.25,1.58,2.82,0,0,0,0.14,0,1,0.77,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,https://reports.aashe.org/institutions/concordia-college-moorhead-mn/report/2020-12-16/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.88
western state colorado university co,5.82,1.85,3,3,2,0,0,4,7.45,0,0,3.27,1.9,2,2,4,0,0,0.15,0,3,1.5,2.07,1.22,0.67,0,0,6.2,2.25,1,0,0.68,0,1.88,0,0,2,0.05,0.78,1,0,0,1.6,3.66,0.57,1,3.33,0.5,1,2.25,0,0,1.33,0,1.25,1,0,0,0,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/western-state-colorado-university-co/report/2019-05-16/,1,1.25,0.5,3.79,1.2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.57
harvey mudd college ca,7.35,0,1.5,0,2,0,2,4,12,0,0,0,2,2,2,4,0.5,0,0,0,3,3,0,2.84,1.33,0,0,5.88,2.26,0.5,0,0,0,1.63,0,0,0,0,0.72,0.41,0.73,0,1.2,5.3,0,0.5,4,0.5,1,0,0,0,1.33,0,2.83,3.61,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/harvey-mudd-college-ca/report/2019-03-01/,2,1.25,0,1.48,2,0.54,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,94.19
college of lake county il,10.87,2.39,3,0,2,0,2,4,0,0,0,2,1.6,2,2,4,0.5,0.46,1,1.25,3,3,3.14,0,2,0,1.46,3,1.45,0,3.93,0,0,1.4,0.95,2,1.25,1,0.46,0.01,0.08,0,0.4,4.97,0,0.75,0.41,2,1,3,1.75,0,1.56,1,2,0.92,0,0,0,1.06,0.53,0.75,0.99,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/college-of-lake-county-il/report/2020-03-06/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.79
michigan technological university mi,8.2,2.95,3,3,2,0,0,4,12,0,0,0.14,2,2,2,4,1,0.23,0,0,2,3,3.19,0.84,0.67,2,0,3.22,0,0,0,0.47,0,1.25,0,0,0,0.23,0.64,1,0.1,0,1,3.19,0,0.5,0.77,0.5,1,1.5,0,0,1.33,1,2.83,1,0,0,0,0.43,0.38,1,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/michigan-technological-university-mi/report/2020-07-08/,2,0,0.5,2.84,1.08,0.3,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.56
central new mexico community college nm,7.48,0.29,3,0,2,2,2,4,0,0,0,0,2,2,2,4,1,0.12,1,0,3,3,3.19,0.03,1.33,0,0,5.54,2.19,1.71,0,0.22,0,0,2,0,2.5,0,0.47,0,0.15,0,2,2.72,0.88,0.5,5,2,1,2.5,0,0,1.56,1,0.25,2.2,0,0,0,1.08,0.42,1,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/central-new-mexico-community-college-nm/report/2019-07-26/,0,1.75,0.5,3.88,0.54,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.48
university of west georgia ga,7.07,0.04,1.5,3,2,2,2,4,6.72,0,0,0.9,1.68,2,2,4,0,0,0.19,0,2,3,3.03,0.66,0.67,0,0,4.19,1.14,1.52,0,0,0,0.75,1,1,2,0,0.79,0.29,0.2,0,1.2,2.17,0.15,0.75,0.91,1,1,4,0,0,1.56,0.63,1.33,2.78,1,0,0,0.6,1,0.33,1.57,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/university-of-west-georgia-ga/report/2018-03-30/,3,1,0.5,2.7,0.6,0.18,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.3
brock university on,12.21,0,1.5,3,2,0,2,3.6,11.74,4,2,0,2,2,1.6,2,0,0,1,0,3,0,0,0.47,0,0,2.21,3.1,0,0,2.83,0,0,1.6,1,1,1,0,0.17,0.06,0.09,2.85,0.4,4.1,0,1,2.51,1,1,3,0,0,1.44,1,1.92,1.18,0,0,0,0.66,0.59,0.75,0.63,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,https://reports.aashe.org/institutions/brock-university-on/report/2020-11-24/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.21
university of the pacific ca,2.77,2.05,3,3,2,0,2,2.8,4.29,4,1.33,2.86,1.12,2,2,4,0.25,0.29,1,1,2,2.5,3.74,0.24,0,1,0,0,1.25,1,2.99,0,2.73,2,0.86,0,1.5,0.05,0.92,0.67,0.74,1.7,0.6,4.32,0.43,1,3.76,0.5,1,0,2.25,0,1.56,1,1.5,2.73,0,0,0.06,0.42,1,1,0.88,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,https://reports.aashe.org/institutions/university-of-the-pacific-ca/report/2021-03-04/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.66
westminster college ut,5.48,0.26,3,0,2,2,0,4,9.15,0,0,4,1.58,2,2,4,0.25,0,1,0,3,2.5,0,4.21,0,0,0,3.87,0,0,0,0.15,0.42,1.75,1.04,2,1.5,0.98,0.87,0.42,0.22,0,1.4,2.28,0,1,0,0.5,1,1.25,0,0,1.56,0,2.42,2,0,0,0,0.6,0.58,1,1.14,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,https://reports.aashe.org/institutions/westminster-college-ut/report/2019-08-15/,2,1.25,1,2.79,1.03,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.45
state university of new york at oneonta ny,4.46,0.46,3,3,2,0,2,4,11.08,0,0,2.21,1.7,2,1.75,2,0.5,0,1,0,2,1.5,0,2.05,0,0,0,1.42,1.66,1.5,0,0,0,2,0,2,1.75,0.98,0.93,1,0.12,0,0.8,2.6,0,1,0.76,1,1,3.25,0,0,1.44,0.88,2.75,2.91,0,0,0,0,0.53,1,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/state-university-of-new-york-at-oneonta-ny/report/2018-03-02/,3,1.25,0.5,2.53,0.9,0.01,2,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.27
selkirk college bc,5.98,0,3,0,2,2,0,4,12,0,0,0,2,1.75,2,4,0.5,0,1,0,3,2.5,5,0.55,0,0,0,7.06,0,0.5,0,0,0.53,1.38,0,1,0,0,0.71,0.34,0.06,0,1,3.09,0.8,0.5,0,0.5,1,2.25,0,0,1.33,0,1,1,0,0,0,1.8,0,1,0.96,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/selkirk-college-bc/report/2019-05-28/,1,1.25,0.5,4.48,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.82
mohammed vi polytechnic university no state,14,0,0,3,0,2,0,4,10.71,4,0,2.1,2,2,2,4,0.5,0,0,0,3,2.5,2,0.19,0,0,0,0,2.32,1.93,3,1.38,1.26,1.05,1,0,2,0.49,0.63,0.75,0.54,3,1,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1.25,0.46,0.75,1.47,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/mohammed-vi-polytechnic-university-no-state/report/2020-08-31/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.78
university of central florida fl,3.02,0.23,3,3,2,0,0,4,3.84,2,0.67,0,0,1.75,2,2,0,0,1,1,3,3,2.29,0.07,0,1,1.46,4.49,1.93,0.01,4.84,0.03,0,1.55,1.1,2,1.75,0,1,0,0.11,1.11,0.4,6.18,0,0.5,1.17,2,1,3.5,1.63,1,1.33,1,1.92,2.86,0,0,0,1.05,0.2,1,0.63,0,0,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0,0,https://reports.aashe.org/institutions/university-of-central-florida-fl/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.62
durham college on,9.36,0,3,0,2,0,2,4,6.25,0,0,0,2,2,1.75,4,1,3,1,0,3,3,5,0,0,0,0,3.88,2.5,0.97,0,0,0.08,2,0,0,2.25,0,0.94,0,0.11,0,1.6,3.26,0,1,1.58,0,1,2,0,0,1.33,0,1.83,2.78,0.5,0,0,0,0.53,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/durham-college-on/report/2020-02-07/,2,1,0,0,1.6,0.88,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.53
west virginia university wv,3.53,0.15,3,3,2,0,0,4,7.61,4,1.33,0.94,0.5,1.75,1.6,4,0.5,0,1,0,3,1,1,1.35,1.33,2,1.25,1.62,0.31,1.7,4.76,0,0.79,1.5,1.02,0.5,1.25,0.83,0.15,0,0,3.34,0.4,2.62,0.73,1,2.24,1,1,2,2.63,0,1.33,0,3,2.23,0,0,0,0,0.5,1,0.92,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/west-virginia-university-wv/report/2021-03-03/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.46
california state university bakersfield ca,5.87,0.09,1.5,0,2,0,2,0,7.45,0,0,0.23,2,1.5,1.5,4,0,0.09,0,0,3,3,0,0.99,0,0,0,6.34,1.25,1,0,0.92,0,1.63,0,1,2.5,0,0,0.28,0.35,0,1.8,4.33,1,0.5,6,0,1,3.25,0,0,1.89,0,1.83,0.5,0,0,0,0.93,0,1,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/california-state-university-bakersfield-ca/report/2018-03-02/,2,1.25,0.5,3.54,0.49,0.18,2.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.36
university of south carolina sc,2.96,1.16,3,3,2,0,0,4,2.09,0,0,4,1.54,2,2,4,0.25,3,1,0,3,3,5,4.17,0.67,2,0,0,0.95,0,0,0,0,2,0.51,0,1.75,0,0,0,0.13,0,1.6,2.54,1,1,0.78,1,1,0,0,0,1.33,1,2.08,1,0,0,1,0,0.44,1,1.28,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/university-of-south-carolina-sc/report/2020-12-04/,4,1.25,0.5,2.21,0.78,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.71
